Model Name,Provider,Dataset,Use Case Score
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,28.75%
Mistral Small (Sep '24),Mistral,Mistral training dataset,28.74%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,28.09%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,27.95%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,27.93%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,27.85%
Gemma 3n E4B Instruct,Google,Google training dataset,27.61%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,26.88%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,26.60%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,26.22%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,26.12%
Gemma 2 9B,Google,Google training dataset,25.85%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,25.75%
Gemma 3 4B Instruct,Google,Google training dataset,25.66%
Granite 4.0 Micro,IBM,IBM training dataset,25.54%
Pixtral 12B (2409),Mistral,Mistral training dataset,25.52%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,25.00%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,24.53%
Aya Expanse 32B,Cohere,Cohere training dataset,24.33%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,24.20%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,22.92%
Command-R+ (Aug '24),Cohere,Cohere training dataset,22.88%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,22.84%
LFM 40B,Liquid AI,Liquid AI training dataset,22.81%
Command-R+ (Apr '24),Cohere,Cohere training dataset,22.59%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,22.30%
Llama 3 Instruct 8B,Meta,Meta training dataset,21.88%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,21.84%
DBRX Instruct,Databricks,Databricks training dataset,21.58%
Llama 2 Chat 70B,Meta,Meta training dataset,21.57%
Gemma 3n E2B Instruct,Google,Google training dataset,21.54%
Llama 2 Chat 13B,Meta,Meta training dataset,21.45%
Ministral 8B,Mistral,Mistral training dataset,21.27%
Mistral NeMo,Mistral,Mistral training dataset,20.97%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,20.70%
Granite 4.0 H 1B,IBM,IBM training dataset,20.54%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,20.44%
Aya Expanse 8B,Cohere,Cohere training dataset,20.32%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,20.20%
Granite 4.0 1B,IBM,IBM training dataset,19.94%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,19.85%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,19.53%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,19.12%
R1 1776,Perplexity,Perplexity training dataset,19.10%
Solar Mini,Upstage,Upstage training dataset,18.90%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.58%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,18.57%
Codestral (May '24),Mistral,Mistral training dataset,18.23%
Grok-1,xAI,xAI training dataset,18.20%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,18.01%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,17.28%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,17.03%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,16.38%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,14.64%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,14.50%
Gemma 3 1B Instruct,Google,Google training dataset,13.08%
Granite 4.0 H 350M,IBM,IBM training dataset,12.48%
Llama 2 Chat 7B,Meta,Meta training dataset,11.96%
Granite 4.0 350M,IBM,IBM training dataset,11.58%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,8.60%
Arctic Instruct,Snowflake,Snowflake training dataset,7.60%
Gemma 3 270M,Google,Google training dataset,7.57%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,5.60%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A
